Date,
6/25/22 23:59,282.102098
6/26/22 23:59,285.144623
6/27/22 23:59,285.1446231
6/28/22 23:59,284.4016562
6/29/22 23:59,284.4016562
6/30/22 23:59,283.300762
7/1/22 23:59,283.300762
7/2/22 23:59,284.3415458
7/3/22 23:59,284.3415467
7/4/22 23:59,364.3389421
7/5/22 23:59,364.3389431
7/6/22 23:59,355.9056797
7/7/22 23:59,355.90568
7/8/22 23:59,408.2596671
7/9/22 23:59,408.2596685
7/10/22 23:59,375.3608961
7/11/22 23:59,375.3608939
7/12/22 23:59,331.6145496
7/13/22 23:59,331.6145492
7/14/22 23:59,307.8043579
7/15/22 23:59,307.8043572
7/16/22 23:59,278.2601613
7/17/22 23:59,278.260161
7/18/22 23:59,295.620471
7/19/22 23:59,295.6204712
7/20/22 23:59,287.8929967
7/21/22 23:59,287.8929965
7/22/22 23:59,293.2360097
7/23/22 23:59,293.2360099
7/24/22 23:59,291.0075798
7/25/22 23:59,291.0075796
7/26/22 23:59,287.5561635
7/27/22 23:59,287.5561636
7/28/22 23:59,287.1839909
7/29/22 23:59,287.1839908
7/30/22 23:59,295.4057079
7/31/22 23:59,295.4057089
8/1/22 23:59,328.0126162
8/2/22 23:59,328.0126162
8/3/22 23:59,329.4852346
8/4/22 23:59,329.4852349
8/5/22 23:59,322.9596302
8/6/22 23:59,322.9596295
8/7/22 23:59,311.0437569
8/8/22 23:59,311.0437569
8/9/22 23:59,317.1334022
8/10/22 23:59,317.1334026
8/11/22 23:59,327.601898
8/12/22 23:59,327.6018982
8/13/22 23:59,337.1925229
8/14/22 23:59,337.192523
8/15/22 23:59,345.3646768
8/16/22 23:59,345.3646771
8/17/22 23:59,331.8596086
8/18/22 23:59,331.8596083
8/19/22 23:59,341.9669597
8/20/22 23:59,341.96696
8/21/22 23:59,342.8462092
8/22/22 23:59,342.8462093
8/23/22 23:59,343.4207596
8/24/22 23:59,343.4207593
8/25/22 23:59,320.0804776
8/26/22 23:59,320.0804772
8/27/22 23:59,322.2900995
8/28/22 23:59,322.2901
8/29/22 23:59,334.2670131
8/30/22 23:59,334.2670128
8/31/22 23:59,315.9966981
9/1/22 23:59,315.996698
9/2/22 23:59,319.1094431
9/3/22 23:59,319.1094431
9/4/22 23:59,317.1742456
9/5/22 23:59,317.1742457
9/6/22 23:59,322.1184665
9/7/22 23:59,322.1184665
9/8/22 23:59,320.4696306
9/9/22 23:59,320.4696306
9/10/22 23:59,317.2242574
9/11/22 23:59,317.2242575
9/12/22 23:59,329.2631301
9/13/22 23:59,329.2631302
9/14/22 23:59,323.8485293
9/15/22 23:59,323.8485292
9/16/22 23:59,323.5199568
9/17/22 23:59,323.5199566
9/18/22 23:59,318.0034721
9/19/22 23:59,318.0034716
9/20/22 23:59,276.5645193
9/21/22 23:59,276.564519
9/22/22 23:59,276.9435627
9/23/22 23:59,276.9435626
9/24/22 23:59,294.8545604
9/25/22 23:59,294.854561
9/26/22 23:59,288.747016
9/27/22 23:59,288.7470156
9/28/22 23:59,289.4775971
9/29/22 23:59,289.4775971
9/30/22 23:59,288.8567002
10/1/22 23:59,288.8567004
