"","Point.Forecast","Lo.51","Hi.51"
" 62",2272.10415620233,2178.80749599017,2365.40081641449
" 63",2272.10415620233,2140.05273527585,2404.15557712881
" 64",2272.10415620233,2110.23450744238,2433.97380496228
" 65",2272.10415620233,2085.02932529205,2459.17898711261
" 66",2272.10415620233,2062.76396666122,2481.44434574344
" 67",2272.10415620233,2042.58103961987,2501.62727278479
" 68",2272.10415620233,2023.97164910098,2520.23666330368
" 69",2272.10415620233,2006.60450289502,2537.60380950963
" 70",2272.10415620233,1990.24967821643,2553.95863418823
" 71",2272.10415620233,1974.73990940321,2569.46840300145
" 72",2272.10415620233,1959.94902894489,2584.25928345977
" 73",2272.10415620233,1945.77909774253,2598.42921466213
" 74",2272.10415620233,1932.15229341712,2612.05601898754
" 75",2272.10415620233,1919.00556885181,2625.20274355285
" 76",2272.10415620233,1906.28700579588,2637.92130660878
" 77",2272.10415620233,1893.95324920876,2650.2550631959
" 78",2272.10415620233,1881.96765496307,2662.24065744159
" 79",2272.10415620233,1870.29892256502,2673.90938983964
" 80",2272.10415620233,1858.92006619763,2685.28824620703
" 81",2272.10415620233,1847.80762710211,2696.40068530255
" 82",2272.10415620233,1836.94106154573,2707.26725085893
" 83",2272.10415620233,1826.30225879752,2717.90605360714
" 84",2272.10415620233,1815.87515688596,2728.3331555187
" 85",2272.10415620233,1805.64543294604,2738.56287945862
" 86",2272.10415620233,1795.60025119527,2748.60806120939
" 87",2272.10415620233,1785.7280559547,2758.48025644996
" 88",2272.10415620233,1776.01840025414,2768.18991215052
" 89",2272.10415620233,1766.46180282243,2777.74650958223
" 90",2272.10415620233,1757.04962792371,2787.15868448095
" 91",2272.10415620233,1747.77398373381,2796.43432867084
" 92",2272.10415620233,1738.62763587842,2805.58067652624
" 93",2272.10415620233,1729.60393345817,2814.60437894649
" 94",2272.10415620233,1720.69674542666,2823.511566978
" 95",2272.10415620233,1711.90040560472,2832.30790679994
" 96",2272.10415620233,1703.20966494118,2840.99864746348
" 97",2272.10415620233,1694.6196498867,2849.58866251796
" 98",2272.10415620233,1686.12582595133,2858.08248645333
" 99",2272.10415620233,1677.72396567839,2866.48434672626
"100",2272.10415620233,1669.41012039836,2874.7981920063
"101",2272.10415620233,1661.18059523176,2883.0277171729
"102",2272.10415620233,1653.03192689613,2891.17638550853
"103",2272.10415620233,1644.96086394224,2899.24744846242
"104",2272.10415620233,1636.96434910255,2907.2439633021
"105",2272.10415620233,1629.03950348276,2915.1688089219
"106",2272.10415620233,1621.18361236663,2923.02470003802
"107",2272.10415620233,1613.39411243773,2930.81419996693
"108",2272.10415620233,1605.66858024891,2938.53973215574
"109",2272.10415620233,1598.00472179419,2946.20359061047
"110",2272.10415620233,1590.40036305676,2953.80794934789
"111",2272.10415620233,1582.85344142416,2961.3548709805
"112",2272.10415620233,1575.36199787506,2968.8463145296
"113",2272.10415620233,1567.92416985503,2976.28414254963
"114",2272.10415620233,1560.53818476823,2983.67012763643
"115",2272.10415620233,1553.20235402145,2991.00595838321
"116",2272.10415620233,1545.91506756425,2998.29324484041
"117",2272.10415620233,1538.67478887567,3005.53352352899
"118",2272.10415620233,1531.48005035378,3012.72826205087
"119",2272.10415620233,1524.32944906922,3019.87886333544
"120",2272.10415620233,1517.22164284817,3026.98666955649
"121",2272.10415620233,1510.15534665431,3034.05296575035
"122",2272.10415620233,1503.12932924214,3041.07898316252
"123",2272.10415620233,1496.14241005737,3048.06590234729
"124",2272.10415620233,1489.19345636242,3055.01485604224
"125",2272.10415620233,1482.28138056744,3061.92693183722
"126",2272.10415620233,1475.40513774917,3068.80317465549
"127",2272.10415620233,1468.56372334172,3075.64458906294
"128",2272.10415620233,1461.75617098505,3082.45214141961
"129",2272.10415620233,1454.98155051808,3089.22676188658
"130",2272.10415620233,1448.23896610488,3095.96934629977
"131",2272.10415620233,1441.5275544832,3102.68075792146
"132",2272.10415620233,1434.84648332579,3109.36182907887
"133",2272.10415620233,1428.19494970582,3116.01336269884
"134",2272.10415620233,1421.57217865833,3122.63613374633
"135",2272.10415620233,1414.97742183061,3129.23089057405
"136",2272.10415620233,1408.40995621476,3135.7983561899
"137",2272.10415620233,1401.86908295651,3142.33922944815
"138",2272.10415620233,1395.35412623475,3148.85418616991
"139",2272.10415620233,1388.86443220667,3155.34388019799
"140",2272.10415620233,1382.39936801394,3161.80894439071
"141",2272.10415620233,1375.95832084566,3168.249991559
"142",2272.10415620233,1369.54069705414,3174.66761535052
"143",2272.10415620233,1363.14592131996,3181.0623910847
"144",2272.10415620233,1356.77343586303,3187.43487654163
"145",2272.10415620233,1350.4226996965,3193.78561270816
"146",2272.10415620233,1344.09318792076,3200.1151244839
"147",2272.10415620233,1337.78439105504,3206.42392134962
"148",2272.10415620233,1331.49581440396,3212.7124980007
"149",2272.10415620233,1325.22697745713,3218.98133494753
"150",2272.10415620233,1318.97741331937,3225.23089908529
"151",2272.10415620233,1312.74666817004,3231.46164423462
"152",2272.10415620233,1306.53430074936,3237.6740116553
"153",2272.10415620233,1300.33988187032,3243.86843053434
"154",2272.10415620233,1294.1629939545,3250.04531845016
"155",2272.10415620233,1288.00323059051,3256.20508181415
"156",2272.10415620233,1281.86019611358,3262.34811629108
"157",2272.10415620233,1275.73350520523,3268.47480719942
"158",2272.10415620233,1269.62278251172,3274.58552989294
"159",2272.10415620233,1263.52766228031,3280.68065012435
"160",2272.10415620233,1257.4477880123,3286.76052439236
"161",2272.10415620233,1251.38281213194,3292.82550027272
"162",2272.10415620233,1245.33239567023,3298.87591673443
"163",2272.10415620233,1239.29620796298,3304.91210444168
"164",2272.10415620233,1233.27392636217,3310.93438604249
"165",2272.10415620233,1227.26523596004,3316.94307644462
"166",2272.10415620233,1221.26982932514,3322.93848307952
"167",2272.10415620233,1215.28740624978,3328.92090615488
"168",2272.10415620233,1209.31767350827,3334.89063889639
"169",2272.10415620233,1203.3603446253,3340.84796777936
"170",2272.10415620233,1197.41513965416,3346.7931727505
"171",2272.10415620233,1191.48178496403,3352.72652744063
"172",2272.10415620233,1185.5600130361,3358.64829936856
"173",2272.10415620233,1179.64956226799,3364.55875013666
"174",2272.10415620233,1173.75017678607,3370.45813561859
"175",2272.10415620233,1167.86160626525,3376.3467061394
"176",2272.10415620233,1161.98360575606,3382.2247066486
"177",2272.10415620233,1156.11593551833,3388.09237688632
"178",2272.10415620233,1150.2583608616,3393.94995154306
"179",2272.10415620233,1144.41065199147,3399.79766041319
"180",2272.10415620233,1138.57258386206,3405.6357285426
"181",2272.10415620233,1132.7439360339,3411.46437637075
"182",2272.10415620233,1126.92449253735,3417.28381986731
"183",2272.10415620233,1121.11404174096,3423.0942706637
"184",2272.10415620233,1115.31237622489,3428.89593617977
"185",2272.10415620233,1109.51929265885,3434.68901974581
"186",2272.10415620233,1103.73459168462,3440.47372072004
"187",2272.10415620233,1097.95807780267,3446.25023460199
"188",2272.10415620233,1092.18955926307,3452.01875314159
"189",2272.10415620233,1086.42884796007,3457.77946444459
"190",2272.10415620233,1080.67575933059,3463.53255307407
"191",2272.10415620233,1074.93011225617,3469.27820014849
"192",2272.10415620233,1069.19172896837,3475.01658343629
"193",2272.10415620233,1063.46043495745,3480.74787744721
"194",2272.10415620233,1057.73605888418,3486.47225352048
"195",2272.10415620233,1052.01843249467,3492.18987990999
"196",2272.10415620233,1046.30739053804,3497.90092186662
"197",2272.10415620233,1040.60277068687,3503.60554171779
"198",2272.10415620233,1034.90441346038,3509.30389894428
"199",2272.10415620233,1029.21216215,3514.99615025465
"200",2272.10415620233,1023.52586274754,3520.68244965712
"201",2272.10415620233,1017.84536387559,3526.36294852907
"202",2272.10415620233,1012.17051672022,3532.03779568444
"203",2272.10415620233,1006.50117496588,3537.70713743878
"204",2272.10415620233,1000.83719473231,3543.37111767235
"205",2272.10415620233,995.178434513489,3549.02987789117
"206",2272.10415620233,989.524755118502,3554.68355728616
"207",2272.10415620233,983.876019614261,3560.3322927904
"208",2272.10415620233,978.232093269995,3565.97621913466
"209",2272.10415620233,972.592843503461,3571.6154689012
"210",2272.10415620233,966.958139828805,3577.25017257585
"211",2272.10415620233,961.327853805998,3582.88045859866
"212",2272.10415620233,955.701858991822,3588.50645341284
"213",2272.10415620233,950.080030892309,3594.12828151235
"214",2272.10415620233,944.462246916613,3599.74606548805
"215",2272.10415620233,938.848386332244,3605.35992607241
"216",2272.10415620233,933.238330221622,3610.96998218304
"217",2272.10415620233,927.631961439907,3616.57635096475
"218",2272.10415620233,922.029164574048,3622.17914783061
"219",2272.10415620233,916.429825903024,3627.77848650163
"220",2272.10415620233,910.833833359223,3633.37447904543
"221",2272.10415620233,905.241076490924,3638.96723591373
"222",2272.10415620233,899.651446425842,3644.55686597882
"223",2272.10415620233,894.064835835707,3650.14347656895
"224",2272.10415620233,888.481138901825,3655.72717350283
"225",2272.10415620233,882.900251281612,3661.30806112305
"226",2272.10415620233,877.322070076037,3666.88624232862
"227",2272.10415620233,871.746493797981,3672.46181860668
"228",2272.10415620233,866.173422341444,3678.03489006321
"229",2272.10415620233,860.602756951598,3683.60555545306
"230",2272.10415620233,855.034400195649,3689.17391220901
"231",2272.10415620233,849.468255934481,3694.74005647018
"232",2272.10415620233,843.904229295052,3700.30408310961
"233",2272.10415620233,838.342226643536,3705.86608576112
"234",2272.10415620233,832.782155559161,3711.4261568455
"235",2272.10415620233,827.223924808737,3716.98438759592
"236",2272.10415620233,821.667444321858,3722.5408680828
"237",2272.10415620233,816.112625166734,3728.09568723792
"238",2272.10415620233,810.559379526655,3733.648932878
"239",2272.10415620233,805.007620677059,3739.2006917276
"240",2272.10415620233,799.457262963179,3744.75104944148
"241",2272.10415620233,793.908221778266,3750.30009062639
"242",2272.10415620233,788.36041354235,3755.84789886231
"243",2272.10415620233,782.813755681551,3761.39455672311
"244",2272.10415620233,777.268166607885,3766.94014579677
"245",2272.10415620233,771.723565699591,3772.48474670507
"246",2272.10415620233,766.17987328193,3778.02843912273
"247",2272.10415620233,760.637010608463,3783.5713017962
"248",2272.10415620233,755.094899842783,3789.11341256188
