Date,BNB
6/25/22 23:59,503.6183668
6/26/22 23:59,504.1505296
6/27/22 23:59,504.6811824
6/28/22 23:59,505.2103381
6/29/22 23:59,505.7380091
6/30/22 23:59,506.2642079
7/1/22 23:59,506.7889469
7/2/22 23:59,507.312238
7/3/22 23:59,507.8340931
7/4/22 23:59,508.3545242
7/5/22 23:59,508.8735426
7/6/22 23:59,509.3911599
7/7/22 23:59,509.9073874
7/8/22 23:59,510.4222362
7/9/22 23:59,510.9357173
7/10/22 23:59,511.4478415
7/11/22 23:59,511.9586196
7/12/22 23:59,512.468062
7/13/22 23:59,512.9761792
7/14/22 23:59,513.4829816
7/15/22 23:59,513.9884791
7/16/22 23:59,514.492682
7/17/22 23:59,514.9956001
7/18/22 23:59,515.4972431
7/19/22 23:59,515.9976207
7/20/22 23:59,516.4967424
7/21/22 23:59,516.9946177
7/22/22 23:59,517.4912558
7/23/22 23:59,517.9866659
7/24/22 23:59,518.480857
7/25/22 23:59,518.9738382
7/26/22 23:59,519.4656183
7/27/22 23:59,519.956206
7/28/22 23:59,520.4456099
7/29/22 23:59,520.9338385
7/30/22 23:59,521.4209004
7/31/22 23:59,521.9068038
8/1/22 23:59,522.3915569
8/2/22 23:59,522.8751679
8/3/22 23:59,523.3576448
8/4/22 23:59,523.8389955
8/5/22 23:59,524.319228
8/6/22 23:59,524.7983499
8/7/22 23:59,525.2763689
8/8/22 23:59,525.7532926
8/9/22 23:59,526.2291286
8/10/22 23:59,526.7038841
8/11/22 23:59,527.1775666
8/12/22 23:59,527.6501833
8/13/22 23:59,528.1217413
8/14/22 23:59,528.5922477
8/15/22 23:59,529.0617096
8/16/22 23:59,529.5301338
8/17/22 23:59,529.9975273
8/18/22 23:59,530.4638967
8/19/22 23:59,530.9292488
8/20/22 23:59,531.3935902
8/21/22 23:59,531.8569275
8/22/22 23:59,532.3192671
8/23/22 23:59,532.7806155
8/24/22 23:59,533.240979
8/25/22 23:59,533.7003639
8/26/22 23:59,534.1587765
8/27/22 23:59,534.6162227
8/28/22 23:59,535.0727089
8/29/22 23:59,535.5282409
8/30/22 23:59,535.9828247
8/31/22 23:59,536.4364663
9/1/22 23:59,536.8891714
9/2/22 23:59,537.3409459
9/3/22 23:59,537.7917953
9/4/22 23:59,538.2417255
9/5/22 23:59,538.6907421
9/6/22 23:59,539.1388504
9/7/22 23:59,539.5860561
9/8/22 23:59,540.0323646
9/9/22 23:59,540.4777812
9/10/22 23:59,540.9223113
9/11/22 23:59,541.3659602
9/12/22 23:59,541.808733
9/13/22 23:59,542.2506349
9/14/22 23:59,542.6916712
9/15/22 23:59,543.1318467
9/16/22 23:59,543.5711666
9/17/22 23:59,544.0096358
9/18/22 23:59,544.4472592
9/19/22 23:59,544.8840418
9/20/22 23:59,545.3199883
9/21/22 23:59,545.7551035
9/22/22 23:59,546.1893922
9/23/22 23:59,546.622859
9/24/22 23:59,547.0555086
9/25/22 23:59,547.4873457
9/26/22 23:59,547.9183747
9/27/22 23:59,548.3486002
9/28/22 23:59,548.7780266
9/29/22 23:59,549.2066585
9/30/22 23:59,549.6345001
10/1/22 23:59,550.0615559
10/2/22 23:59,550.4878302
10/3/22 23:59,550.9133272
10/4/22 23:59,551.3380512
10/5/22 23:59,551.7620063
10/6/22 23:59,552.1851968
10/7/22 23:59,552.6076268
10/8/22 23:59,553.0293003
10/9/22 23:59,553.4502213
10/10/22 23:59,553.870394
10/11/22 23:59,554.2898223
10/12/22 23:59,554.70851
10/13/22 23:59,555.1264613
10/14/22 23:59,555.5436798
10/15/22 23:59,555.9601694
10/16/22 23:59,556.3759341
10/17/22 23:59,556.7909774
10/18/22 23:59,557.2053032
10/19/22 23:59,557.6189152
10/20/22 23:59,558.031817
10/21/22 23:59,558.4440124
10/22/22 23:59,558.8555048
10/23/22 23:59,559.266298
10/24/22 23:59,559.6763954
10/25/22 23:59,560.0858005
10/26/22 23:59,560.494517
10/27/22 23:59,560.9025481
10/28/22 23:59,561.3098974
10/29/22 23:59,561.7165683
10/30/22 23:59,562.1225642
10/31/22 23:59,562.5278883
11/1/22 23:59,562.9325441
11/2/22 23:59,563.3365348
11/3/22 23:59,563.7398637
11/4/22 23:59,564.142534
11/5/22 23:59,564.5445489
11/6/22 23:59,564.9459117
11/7/22 23:59,565.3466255
11/8/22 23:59,565.7466934
11/9/22 23:59,566.1461186
11/10/22 23:59,566.5449041
11/11/22 23:59,566.943053
11/12/22 23:59,567.3405684
11/13/22 23:59,567.7374532
11/14/22 23:59,568.1337104
11/15/22 23:59,568.5293431
11/16/22 23:59,568.9243541
11/17/22 23:59,569.3187464
11/18/22 23:59,569.7125229
11/19/22 23:59,570.1056864
11/20/22 23:59,570.4982398
11/21/22 23:59,570.890186
11/22/22 23:59,571.2815277
11/23/22 23:59,571.6722678
11/24/22 23:59,572.0624089
11/25/22 23:59,572.4519539
11/26/22 23:59,572.8409055
11/27/22 23:59,573.2292663
11/28/22 23:59,573.6170391
11/29/22 23:59,574.0042266
11/30/22 23:59,574.3908313
12/1/22 23:59,574.7768558
12/2/22 23:59,575.1623029
12/3/22 23:59,575.5471751
12/4/22 23:59,575.9314748
12/5/22 23:59,576.3152048
12/6/22 23:59,576.6983675
12/7/22 23:59,577.0809654
12/8/22 23:59,577.463001
12/9/22 23:59,577.8444769
12/10/22 23:59,578.2253953
12/11/22 23:59,578.6057588
12/12/22 23:59,578.9855698
12/13/22 23:59,579.3648307
12/14/22 23:59,579.7435439
12/15/22 23:59,580.1217117
12/16/22 23:59,580.4993366
12/17/22 23:59,580.8764207
12/18/22 23:59,581.2529665
12/19/22 23:59,581.6289762
12/20/22 23:59,582.0044521
12/21/22 23:59,582.3793966
12/22/22 23:59,582.7538117
12/23/22 23:59,583.1276999
12/24/22 23:59,583.5010632
12/25/22 23:59,583.873904
12/26/22 23:59,584.2462243
12/27/22 23:59,584.6180264
12/28/22 23:59,584.9893124
12/29/22 23:59,585.3600844
12/30/22 23:59,585.7303447
12/31/22 23:59,586.1000952
1/1/23 23:59,586.4693382
1/2/23 23:59,586.8380756
1/3/23 23:59,587.2063096
1/4/23 23:59,587.5740422
1/5/23 23:59,587.9412755
1/6/23 23:59,588.3080114
1/7/23 23:59,588.6742521
1/8/23 23:59,589.0399994
1/9/23 23:59,589.4052555
1/10/23 23:59,589.7700222
1/11/23 23:59,590.1343015
1/12/23 23:59,590.4980954
1/13/23 23:59,590.8614058
1/14/23 23:59,591.2242346
1/15/23 23:59,591.5865838
1/16/23 23:59,591.9484552
1/17/23 23:59,592.3098508
1/18/23 23:59,592.6707723
1/19/23 23:59,593.0312217
1/20/23 23:59,593.3912008
1/21/23 23:59,593.7507114
1/22/23 23:59,594.1097554
1/23/23 23:59,594.4683346
1/24/23 23:59,594.8264508
1/25/23 23:59,595.1841057
1/26/23 23:59,595.5413012
1/27/23 23:59,595.898039
1/28/23 23:59,596.2543208
1/29/23 23:59,596.6101484
1/30/23 23:59,596.9655236
1/31/23 23:59,597.3204481
2/1/23 23:59,597.6749235
2/2/23 23:59,598.0289516
2/3/23 23:59,598.3825341
2/4/23 23:59,598.7356726
2/5/23 23:59,599.0883688
2/6/23 23:59,599.4406244
2/7/23 23:59,599.792441
2/8/23 23:59,600.1438203
2/9/23 23:59,600.4947638
2/10/23 23:59,600.8452732
2/11/23 23:59,601.1953501
2/12/23 23:59,601.5449962
2/13/23 23:59,601.8942129
2/14/23 23:59,602.2430019
2/15/23 23:59,602.5913647
2/16/23 23:59,602.9393029
2/17/23 23:59,603.286818
2/18/23 23:59,603.6339116
2/19/23 23:59,603.9805853
2/20/23 23:59,604.3268404
2/21/23 23:59,604.6726786
2/22/23 23:59,605.0181014
2/23/23 23:59,605.3631101
2/24/23 23:59,605.7077065
2/25/23 23:59,606.0518918
2/26/23 23:59,606.3956675
2/27/23 23:59,606.7390352
2/28/23 23:59,607.0819963
3/1/23 23:59,607.4245522
3/2/23 23:59,607.7667043
3/3/23 23:59,608.1084541
3/4/23 23:59,608.449803
3/5/23 23:59,608.7907524
3/6/23 23:59,609.1313037
3/7/23 23:59,609.4714583
3/8/23 23:59,609.8112175
3/9/23 23:59,610.1505828
3/10/23 23:59,610.4895555
3/11/23 23:59,610.8281369
3/12/23 23:59,611.1663285
3/13/23 23:59,611.5041316
3/14/23 23:59,611.8415475
3/15/23 23:59,612.1785774
3/16/23 23:59,612.5152229
3/17/23 23:59,612.8514851
3/18/23 23:59,613.1873654
3/19/23 23:59,613.522865
3/20/23 23:59,613.8579853
3/21/23 23:59,614.1927276
3/22/23 23:59,614.5270931
3/23/23 23:59,614.861083
3/24/23 23:59,615.1946988
3/25/23 23:59,615.5279415
3/26/23 23:59,615.8608125
3/27/23 23:59,616.1933129
3/28/23 23:59,616.5254442
3/29/23 23:59,616.8572073
3/30/23 23:59,617.1886037
3/31/23 23:59,617.5196344
4/1/23 23:59,617.8503008
4/2/23 23:59,618.1806039
4/3/23 23:59,618.5105451
4/4/23 23:59,618.8401254
4/5/23 23:59,619.1693461
4/6/23 23:59,619.4982083
4/7/23 23:59,619.8267133
