,x,,,,
133,0.000140655,,2.82E+03,,2.82E+02
134,5637.737148,,2.82E+03,,2.82E+02
135,0.000137683,,2.69E+03,,2.69E+02
136,5382.403428,,2.69E+03,,2.69E+02
137,0.00013682,,2.66E+03,,2.66E+02
138,5317.532945,,2.66E+03,,2.66E+02
139,0.000130009,,2.59E+03,,2.59E+02
140,5176.823957,,2.59E+03,,2.59E+02
141,0.000132816,,2.58E+03,,2.58E+02
142,5157.81619,,2.58E+03,,2.58E+02
143,0.000132224,,2.71E+03,,2.71E+02
144,5418.087631,,2.71E+03,,2.71E+02
145,0.000134432,,2.62E+03,,2.62E+02
146,5236.17859,,2.62E+03,,2.62E+02
147,0.000130486,,2.60E+03,,2.60E+02
148,5208.231282,,2.60E+03,,2.60E+02
149,0.00013277,,2.67E+03,,2.67E+02
150,5340.79002,,2.67E+03,,2.67E+02
151,0.000134772,,2.65E+03,,2.65E+02
152,5298.37813,,2.65E+03,,2.65E+02
153,0.000133078,,2.73E+03,,2.73E+02
154,5464.033062,,2.73E+03,,2.73E+02
155,0.000141843,,2.76E+03,,2.76E+02
156,5520.854609,,2.76E+03,,2.76E+02
157,0.000138764,,2.75E+03,,2.75E+02
158,5499.451396,,2.75E+03,,2.75E+02
159,0.000139206,,2.78E+03,,2.78E+02
160,5557.631173,,2.78E+03,,2.78E+02
161,0.000138985,,2.83E+03,,2.83E+02
162,5659.727898,,2.83E+03,,2.83E+02
163,0.000143604,,2.81E+03,,2.81E+02
164,5621.244303,,2.81E+03,,2.81E+02
165,0.000142641,,2.86E+03,,2.86E+02
166,5712.841286,,2.86E+03,,2.86E+02
167,0.000143996,,2.89E+03,,2.89E+02
168,5787.248038,,2.89E+03,,2.89E+02
169,0.000145528,,2.89E+03,,2.89E+02
170,5777.409138,,2.89E+03,,2.89E+02
171,0.000144534,,2.86E+03,,2.86E+02
172,5724.157892,,2.86E+03,,2.86E+02
173,0.000142972,,2.79E+03,,2.79E+02
174,5588.616389,,2.79E+03,,2.79E+02
175,0.000139984,,2.82E+03,,2.82E+02
176,5642.041817,,2.82E+03,,2.82E+02
177,0.000142689,,2.85E+03,,2.85E+02
178,5702.892318,,2.85E+03,,2.85E+02
179,0.000143668,,2.84E+03,,2.84E+02
180,5688.032981,,2.84E+03,,2.84E+02
181,0.000143293,,2.83E+03,,2.83E+02
182,5666.015096,,2.83E+03,,2.83E+02
183,0.000142944,,2.84E+03,,2.84E+02
184,5686.830772,,2.84E+03,,2.84E+02
185,0.000161379,,3.64E+03,,3.64E+02
186,7286.77868,,3.64E+03,,3.64E+02
187,0.000181994,,3.56E+03,,3.56E+02
188,7118.113411,,3.56E+03,,3.56E+02
189,0.000188002,,4.08E+03,,4.08E+02
190,8165.193153,,4.08E+03,,4.08E+02
191,0.000216598,,3.75E+03,,3.75E+02
192,7507.217706,,3.75E+03,,3.75E+02
193,0.000171411,,3.32E+03,,3.32E+02
194,6632.29082,,3.32E+03,,3.32E+02
195,0.00016322,,3.08E+03,,3.08E+02
196,6156.086995,,3.08E+03,,3.08E+02
197,0.000150038,,2.78E+03,,2.78E+02
198,5565.203076,,2.78E+03,,2.78E+02
199,0.000144528,,2.96E+03,,2.96E+02
200,5912.409275,,2.96E+03,,2.96E+02
201,0.00014846,,2.88E+03,,2.88E+02
202,5757.859786,,2.88E+03,,2.88E+02
203,0.000144141,,2.93E+03,,2.93E+02
204,5864.720051,,2.93E+03,,2.93E+02
205,0.000147285,,2.91E+03,,2.91E+02
206,5820.151449,,2.91E+03,,2.91E+02
207,0.000143416,,2.88E+03,,2.88E+02
208,5751.123127,,2.88E+03,,2.88E+02
209,0.000144992,,2.87E+03,,2.87E+02
210,5743.679673,,2.87E+03,,2.87E+02
211,0.000143611,,2.95E+03,,2.95E+02
212,5908.114015,,2.95E+03,,2.95E+02
213,0.000163221,,3.28E+03,,3.28E+02
214,6560.252162,,3.28E+03,,3.28E+02
215,0.000162667,,3.29E+03,,3.29E+02
216,6589.704529,,3.29E+03,,3.29E+02
217,0.000168972,,3.23E+03,,3.23E+02
218,6459.192434,,3.23E+03,,3.23E+02
219,0.000155634,,3.11E+03,,3.11E+02
220,6220.874982,,3.11E+03,,3.11E+02
221,0.000155447,,3.17E+03,,3.17E+02
222,6342.667889,,3.17E+03,,3.17E+02
223,0.00016226,,3.28E+03,,3.28E+02
224,6552.037797,,3.28E+03,,3.28E+02
225,0.000167015,,3.37E+03,,3.37E+02
226,6743.850291,,3.37E+03,,3.37E+02
227,0.000167872,,3.45E+03,,3.45E+02
228,6907.293369,,3.45E+03,,3.45E+02
229,0.000172626,,3.32E+03,,3.32E+02
230,6637.191999,,3.32E+03,,3.32E+02
231,0.00016795,,3.42E+03,,3.42E+02
232,6839.339026,,3.42E+03,,3.42E+02
233,0.000173612,,3.43E+03,,3.43E+02
234,6856.924011,,3.43E+03,,3.43E+02
235,0.000174051,,3.43E+03,,3.43E+02
236,6868.415019,,3.43E+03,,3.43E+02
237,0.000166916,,3.20E+03,,3.20E+02
238,6401.609386,,3.20E+03,,3.20E+02
239,0.000158833,,3.22E+03,,3.22E+02
240,6445.801832,,3.22E+03,,3.22E+02
241,0.000167998,,3.34E+03,,3.34E+02
242,6685.340093,,3.34E+03,,3.34E+02
243,0.000162293,,3.16E+03,,3.16E+02
244,6319.933799,,3.16E+03,,3.16E+02
245,0.000161345,,3.19E+03,,3.19E+02
246,6382.188701,,3.19E+03,,3.19E+02
247,0.000160698,,3.17E+03,,3.17E+02
248,6343.484752,,3.17E+03,,3.17E+02
249,0.000161664,,3.22E+03,,3.22E+02
250,6442.369169,,3.22E+03,,3.22E+02
251,0.000160671,,3.20E+03,,3.20E+02
252,6409.392452,,3.20E+03,,3.20E+02
253,0.000160778,,3.17E+03,,3.17E+02
254,6344.484988,,3.17E+03,,3.17E+02
255,0.00016291,,3.29E+03,,3.29E+02
256,6585.262439,,3.29E+03,,3.29E+02
257,0.00016464,,3.24E+03,,3.24E+02
258,6476.970421,,3.24E+03,,3.24E+02
259,0.000163863,,3.24E+03,,3.24E+02
260,6470.398973,,3.24E+03,,3.24E+02
261,0.000159923,,3.18E+03,,3.18E+02
262,6360.069283,,3.18E+03,,3.18E+02
263,0.000149214,,2.77E+03,,2.77E+02
264,5531.290238,,2.77E+03,,2.77E+02
265,0.00014145,,2.77E+03,,2.77E+02
266,5538.871112,,2.77E+03,,2.77E+02
