Date,Point.Forecast
1/1/22 23:59,15.68666063
1/2/22 23:59,15.68675615
1/3/22 23:59,15.68683552
1/4/22 23:59,15.68690148
1/5/22 23:59,15.68695629
1/6/22 23:59,15.68700184
1/7/22 23:59,15.68703969
1/8/22 23:59,15.68707114
1/9/22 23:59,15.68709728
1/10/22 23:59,15.687119
1/11/22 23:59,15.68713705
1/12/22 23:59,15.68715205
1/13/22 23:59,15.68716452
1/14/22 23:59,15.68717487
1/15/22 23:59,15.68718348
1/16/22 23:59,15.68719063
1/17/22 23:59,15.68719658
1/18/22 23:59,15.68720152
1/19/22 23:59,15.68720562
1/20/22 23:59,15.68720903
1/21/22 23:59,15.68721187
1/22/22 23:59,15.68721422
1/23/22 23:59,15.68721618
1/24/22 23:59,15.68721781
1/25/22 23:59,15.68721916
1/26/22 23:59,15.68722028
1/27/22 23:59,15.68722122
1/28/22 23:59,15.68722199
1/29/22 23:59,15.68722264
1/30/22 23:59,15.68722317
1/31/22 23:59,15.68722362
2/1/22 23:59,15.68722399
2/2/22 23:59,15.68722429
2/3/22 23:59,15.68722455
2/4/22 23:59,15.68722476
2/5/22 23:59,15.68722494
2/6/22 23:59,15.68722509
2/7/22 23:59,15.68722521
2/8/22 23:59,15.68722531
2/9/22 23:59,15.68722539
2/10/22 23:59,15.68722546
2/11/22 23:59,15.68722552
2/12/22 23:59,15.68722557
2/13/22 23:59,15.68722561
2/14/22 23:59,15.68722564
2/15/22 23:59,15.68722567
2/16/22 23:59,15.68722569
2/17/22 23:59,15.68722571
2/18/22 23:59,15.68722573
2/19/22 23:59,15.68722574
2/20/22 23:59,15.68722575
2/21/22 23:59,15.68722576
2/22/22 23:59,15.68722577
2/23/22 23:59,15.68722578
2/24/22 23:59,15.68722578
2/25/22 23:59,15.68722578
2/26/22 23:59,15.68722579
2/27/22 23:59,15.68722579
2/28/22 23:59,15.68722579
3/1/22 23:59,15.6872258
3/2/22 23:59,15.6872258
3/3/22 23:59,15.6872258
3/4/22 23:59,15.6872258
3/5/22 23:59,15.6872258
3/6/22 23:59,15.6872258
3/7/22 23:59,15.6872258
3/8/22 23:59,15.6872258
3/9/22 23:59,15.6872258
3/10/22 23:59,15.6872258
3/11/22 23:59,15.6872258
3/12/22 23:59,15.6872258
3/13/22 23:59,15.6872258
3/14/22 23:59,15.68722581
3/15/22 23:59,15.68722581
3/16/22 23:59,15.68722581
3/17/22 23:59,15.68722581
3/18/22 23:59,15.68722581
3/19/22 23:59,15.68722581
3/20/22 23:59,15.68722581
3/21/22 23:59,15.68722581
3/22/22 23:59,15.68722581
3/23/22 23:59,15.68722581
3/24/22 23:59,15.68722581
3/25/22 23:59,15.68722581
3/26/22 23:59,15.68722581
3/27/22 23:59,15.68722581
3/28/22 23:59,15.68722581
3/29/22 23:59,15.68722581
3/30/22 23:59,15.68722581
3/31/22 23:59,15.68722581
4/1/22 23:59,15.68722581
4/2/22 23:59,15.68722581
4/3/22 23:59,15.68722581
4/4/22 23:59,15.68722581
4/5/22 23:59,15.68722581
4/6/22 23:59,15.68722581
4/7/22 23:59,15.68722581
4/8/22 23:59,15.68722581
4/9/22 23:59,15.68722581
4/10/22 23:59,15.68722581
4/11/22 23:59,15.68722581
4/12/22 23:59,15.68722581
4/13/22 23:59,15.68722581
4/14/22 23:59,15.68722581
4/15/22 23:59,15.68722581
4/16/22 23:59,15.68722581
4/17/22 23:59,15.68722581
4/18/22 23:59,15.68722581
4/19/22 23:59,15.68722581
4/20/22 23:59,15.68722581
4/21/22 23:59,15.68722581
4/22/22 23:59,15.68722581
4/23/22 23:59,15.68722581
4/24/22 23:59,15.68722581
4/25/22 23:59,15.68722581
4/26/22 23:59,15.68722581
4/27/22 23:59,15.68722581
4/28/22 23:59,15.68722581
4/29/22 23:59,15.68722581
4/30/22 23:59,15.68722581
5/1/22 23:59,15.68722581
5/2/22 23:59,15.68722581
5/3/22 23:59,15.68722581
5/4/22 23:59,15.68722581
5/5/22 23:59,15.68722581
5/6/22 23:59,15.68722581
5/7/22 23:59,15.68722581
5/8/22 23:59,15.68722581
5/9/22 23:59,15.68722581
5/10/22 23:59,15.68722581
5/11/22 23:59,15.68722581
5/12/22 23:59,15.68722581
5/13/22 23:59,15.68722581
5/14/22 23:59,15.68722581
5/15/22 23:59,15.68722581
5/16/22 23:59,15.68722581
5/17/22 23:59,15.68722581
5/18/22 23:59,15.68722581
5/19/22 23:59,15.68722581
5/20/22 23:59,15.68722581
5/21/22 23:59,15.68722581
5/22/22 23:59,15.68722581
5/23/22 23:59,15.68722581
5/24/22 23:59,15.68722581
5/25/22 23:59,15.68722581
5/26/22 23:59,15.68722581
5/27/22 23:59,15.68722581
5/28/22 23:59,15.68722581
5/29/22 23:59,15.68722581
5/30/22 23:59,15.68722581
5/31/22 23:59,15.68722581
6/1/22 23:59,15.68722581
6/2/22 23:59,15.68722581
6/3/22 23:59,15.68722581
6/4/22 23:59,15.68722581
6/5/22 23:59,15.68722581
6/6/22 23:59,15.68722581
6/7/22 23:59,15.68722581
6/8/22 23:59,15.68722581
6/9/22 23:59,15.68722581
6/10/22 23:59,15.68722581
6/11/22 23:59,15.68722581
6/12/22 23:59,15.68722581
6/13/22 23:59,15.68722581
6/14/22 23:59,15.68722581
6/15/22 23:59,15.68722581
6/16/22 23:59,15.68722581
6/17/22 23:59,15.68722581
6/18/22 23:59,15.68722581
6/19/22 23:59,15.68722581
6/20/22 23:59,15.68722581
6/21/22 23:59,15.68722581
6/22/22 23:59,15.68722581
6/23/22 23:59,15.68722581
6/24/22 23:59,15.68722581
6/25/22 23:59,15.68722581
6/26/22 23:59,15.68722581
6/27/22 23:59,15.68722581
6/28/22 23:59,15.68722581
6/29/22 23:59,15.68722581
6/30/22 23:59,15.68722581
7/1/22 23:59,15.68722581
7/2/22 23:59,15.68722581
7/3/22 23:59,15.68722581
7/4/22 23:59,15.68722581
7/5/22 23:59,15.68722581
7/6/22 23:59,15.68722581
7/7/22 23:59,15.68722581
7/8/22 23:59,15.68722581
7/9/22 23:59,15.68722581
7/10/22 23:59,15.68722581
7/11/22 23:59,15.68722581
7/12/22 23:59,15.68722581
7/13/22 23:59,15.68722581
7/14/22 23:59,15.68722581
7/15/22 23:59,15.68722581
7/16/22 23:59,15.68722581
7/17/22 23:59,15.68722581
7/18/22 23:59,15.68722581
7/19/22 23:59,15.68722581
7/20/22 23:59,15.68722581
7/21/22 23:59,15.68722581
7/22/22 23:59,15.68722581
7/23/22 23:59,15.68722581
7/24/22 23:59,15.68722581
7/25/22 23:59,15.68722581
7/26/22 23:59,15.68722581
7/27/22 23:59,15.68722581
7/28/22 23:59,15.68722581
7/29/22 23:59,15.68722581
7/30/22 23:59,15.68722581
7/31/22 23:59,15.68722581
8/1/22 23:59,15.68722581
8/2/22 23:59,15.68722581
8/3/22 23:59,15.68722581
8/4/22 23:59,15.68722581
8/5/22 23:59,15.68722581
8/6/22 23:59,15.68722581
8/7/22 23:59,15.68722581
8/8/22 23:59,15.68722581
8/9/22 23:59,15.68722581
8/10/22 23:59,15.68722581
8/11/22 23:59,15.68722581
8/12/22 23:59,15.68722581
8/13/22 23:59,15.68722581
8/14/22 23:59,15.68722581
8/15/22 23:59,15.68722581
8/16/22 23:59,15.68722581
8/17/22 23:59,15.68722581
8/18/22 23:59,15.68722581
8/19/22 23:59,15.68722581
8/20/22 23:59,15.68722581
8/21/22 23:59,15.68722581
8/22/22 23:59,15.68722581
8/23/22 23:59,15.68722581
8/24/22 23:59,15.68722581
8/25/22 23:59,15.68722581
8/26/22 23:59,15.68722581
8/27/22 23:59,15.68722581
8/28/22 23:59,15.68722581
8/29/22 23:59,15.68722581
8/30/22 23:59,15.68722581
8/31/22 23:59,15.68722581
9/1/22 23:59,15.68722581
9/2/22 23:59,15.68722581
9/3/22 23:59,15.68722581
9/4/22 23:59,15.68722581
9/5/22 23:59,15.68722581
9/6/22 23:59,15.68722581
9/7/22 23:59,15.68722581
9/8/22 23:59,15.68722581
9/9/22 23:59,15.68722581
9/10/22 23:59,15.68722581
9/11/22 23:59,15.68722581
9/12/22 23:59,15.68722581
9/13/22 23:59,15.68722581
9/14/22 23:59,15.68722581
9/15/22 23:59,15.68722581
9/16/22 23:59,15.68722581
9/17/22 23:59,15.68722581
9/18/22 23:59,15.68722581
9/19/22 23:59,15.68722581
9/20/22 23:59,15.68722581
9/21/22 23:59,15.68722581
9/22/22 23:59,15.68722581
9/23/22 23:59,15.68722581
9/24/22 23:59,15.68722581
9/25/22 23:59,15.68722581
9/26/22 23:59,15.68722581
9/27/22 23:59,15.68722581
9/28/22 23:59,15.68722581
9/29/22 23:59,15.68722581
9/30/22 23:59,15.68722581
10/1/22 23:59,15.68722581
10/2/22 23:59,15.68722581
10/3/22 23:59,15.68722581
10/4/22 23:59,15.68722581
10/5/22 23:59,15.68722581
10/6/22 23:59,15.68722581
10/7/22 23:59,15.68722581
10/8/22 23:59,15.68722581
10/9/22 23:59,15.68722581
10/10/22 23:59,15.68722581
10/11/22 23:59,15.68722581
10/12/22 23:59,15.68722581
10/13/22 23:59,15.68722581
10/14/22 23:59,15.68722581
10/15/22 23:59,15.68722581
10/16/22 23:59,15.68722581
10/17/22 23:59,15.68722581
10/18/22 23:59,15.68722581
10/19/22 23:59,15.68722581
10/20/22 23:59,15.68722581
10/21/22 23:59,15.68722581
10/22/22 23:59,15.68722581
10/23/22 23:59,15.68722581
10/24/22 23:59,15.68722581
10/25/22 23:59,15.68722581
10/26/22 23:59,15.68722581
10/27/22 23:59,15.68722581
10/28/22 23:59,15.68722581
10/29/22 23:59,15.68722581
10/30/22 23:59,15.68722581
10/31/22 23:59,15.68722581
11/1/22 23:59,15.68722581
11/2/22 23:59,15.68722581
11/3/22 23:59,15.68722581
11/4/22 23:59,15.68722581
11/5/22 23:59,15.68722581
11/6/22 23:59,15.68722581
11/7/22 23:59,15.68722581
11/8/22 23:59,15.68722581
11/9/22 23:59,15.68722581
11/10/22 23:59,15.68722581
11/11/22 23:59,15.68722581
11/12/22 23:59,15.68722581
11/13/22 23:59,15.68722581
11/14/22 23:59,15.68722581
11/15/22 23:59,15.68722581
11/16/22 23:59,15.68722581
11/17/22 23:59,15.68722581
11/18/22 23:59,15.68722581
11/19/22 23:59,15.68722581
11/20/22 23:59,15.68722581
11/21/22 23:59,15.68722581
11/22/22 23:59,15.68722581
11/23/22 23:59,15.68722581
11/24/22 23:59,15.68722581
