Date,Bitcoin_Value Prediction ($)
6/23/22 23:59,51511.55165
6/24/22 23:59,51573.12042
6/25/22 23:59,51634.62199
6/26/22 23:59,51696.05747
6/27/22 23:59,51757.42792
6/28/22 23:59,51818.7344
6/29/22 23:59,51879.97796
6/30/22 23:59,51941.15961
7/1/22 23:59,52002.28038
7/2/22 23:59,52063.34126
7/3/22 23:59,52124.34325
7/4/22 23:59,52185.28732
7/5/22 23:59,52246.17443
7/6/22 23:59,52307.00552
7/7/22 23:59,52367.78154
7/8/22 23:59,52428.50341
7/9/22 23:59,52489.17203
7/10/22 23:59,52549.78832
7/11/22 23:59,52610.35316
7/12/22 23:59,52670.86743
7/13/22 23:59,52731.33199
7/14/22 23:59,52791.7477
7/15/22 23:59,52852.11541
7/16/22 23:59,52912.43595
7/17/22 23:59,52972.71014
7/18/22 23:59,53032.93881
7/19/22 23:59,53093.12275
7/20/22 23:59,53153.26275
7/21/22 23:59,53213.35962
7/22/22 23:59,53273.41411
7/23/22 23:59,53333.427
7/24/22 23:59,53393.39905
7/25/22 23:59,53453.331
7/26/22 23:59,53513.2236
7/27/22 23:59,53573.07757
7/28/22 23:59,53632.89364
7/29/22 23:59,53692.67253
7/30/22 23:59,53752.41494
7/31/22 23:59,53812.12157
8/1/22 23:59,53871.79312
8/2/22 23:59,53931.43026
8/3/22 23:59,53991.03367
8/4/22 23:59,54050.60402
8/5/22 23:59,54110.14197
8/6/22 23:59,54169.64817
8/7/22 23:59,54229.12328
8/8/22 23:59,54288.56793
8/9/22 23:59,54347.98276
8/10/22 23:59,54407.36839
8/11/22 23:59,54466.72543
8/12/22 23:59,54526.05451
8/13/22 23:59,54585.35624
8/14/22 23:59,54644.6312
8/15/22 23:59,54703.88
8/16/22 23:59,54763.10322
8/17/22 23:59,54822.30145
8/18/22 23:59,54881.47527
8/19/22 23:59,54940.62523
8/20/22 23:59,54999.75191
8/21/22 23:59,55058.85587
8/22/22 23:59,55117.93766
8/23/22 23:59,55176.99783
8/24/22 23:59,55236.03692
8/25/22 23:59,55295.05547
8/26/22 23:59,55354.05401
8/27/22 23:59,55413.03307
8/28/22 23:59,55471.99317
8/29/22 23:59,55530.93483
8/30/22 23:59,55589.85856
8/31/22 23:59,55648.76486
9/1/22 23:59,55707.65425
9/2/22 23:59,55766.52721
9/3/22 23:59,55825.38424
9/4/22 23:59,55884.22584
9/5/22 23:59,55943.05248
9/6/22 23:59,56001.86464
9/7/22 23:59,56060.66281
9/8/22 23:59,56119.44745
9/9/22 23:59,56178.21902
9/10/22 23:59,56236.978
9/11/22 23:59,56295.72484
9/12/22 23:59,56354.46
9/13/22 23:59,56413.18392
9/14/22 23:59,56471.89706
9/15/22 23:59,56530.59986
9/16/22 23:59,56589.29275
9/17/22 23:59,56647.97617
9/18/22 23:59,56706.65056
9/19/22 23:59,56765.31634
9/20/22 23:59,56823.97394
9/21/22 23:59,56882.62378
9/22/22 23:59,56941.26627
9/23/22 23:59,56999.90184
9/24/22 23:59,57058.53088
9/25/22 23:59,57117.15381
9/26/22 23:59,57175.77104
9/27/22 23:59,57234.38296
9/28/22 23:59,57292.98997
9/29/22 23:59,57351.59247
9/30/22 23:59,57410.19085
10/1/22 23:59,57468.78549
10/2/22 23:59,57527.37678
10/3/22 23:59,57585.96511
10/4/22 23:59,57644.55085
10/5/22 23:59,57703.13438
10/6/22 23:59,57761.71607
10/7/22 23:59,57820.29629
10/8/22 23:59,57878.87542
10/9/22 23:59,57937.45381
10/10/22 23:59,57996.03183
10/11/22 23:59,58054.60984
10/12/22 23:59,58113.1882
10/13/22 23:59,58171.76726
10/14/22 23:59,58230.34736
10/15/22 23:59,58288.92887
10/16/22 23:59,58347.51213
10/17/22 23:59,58406.09748
10/18/22 23:59,58464.68526
10/19/22 23:59,58523.27582
10/20/22 23:59,58581.86949
10/21/22 23:59,58640.4666
10/22/22 23:59,58699.06749
10/23/22 23:59,58757.67248
10/24/22 23:59,58816.28192
10/25/22 23:59,58874.89611
10/26/22 23:59,58933.51538
10/27/22 23:59,58992.14006
10/28/22 23:59,59050.77046
10/29/22 23:59,59109.40691
10/30/22 23:59,59168.04971
10/31/22 23:59,59226.69917
11/1/22 23:59,59285.35561
11/2/22 23:59,59344.01934
11/3/22 23:59,59402.69067
11/4/22 23:59,59461.36989
11/5/22 23:59,59520.0573
11/6/22 23:59,59578.75322
11/7/22 23:59,59637.45794
11/8/22 23:59,59696.17176
11/9/22 23:59,59754.89496
11/10/22 23:59,59813.62785
11/11/22 23:59,59872.37071
11/12/22 23:59,59931.12384
11/13/22 23:59,59989.88752
11/14/22 23:59,60048.66203
11/15/22 23:59,60107.44767
11/16/22 23:59,60166.24472
11/17/22 23:59,60225.05345
11/18/22 23:59,60283.87414
11/19/22 23:59,60342.70707
11/20/22 23:59,60401.55253
11/21/22 23:59,60460.41077
11/22/22 23:59,60519.28208
11/23/22 23:59,60578.16672
11/24/22 23:59,60637.06497
11/25/22 23:59,60695.97709
11/26/22 23:59,60754.90336
11/27/22 23:59,60813.84402
11/28/22 23:59,60872.79935
11/29/22 23:59,60931.76961
11/30/22 23:59,60990.75507
12/1/22 23:59,61049.75597
12/2/22 23:59,61108.77257
12/3/22 23:59,61167.80514
12/4/22 23:59,61226.85393
12/5/22 23:59,61285.91919
12/6/22 23:59,61345.00117
12/7/22 23:59,61404.10013
12/8/22 23:59,61463.21631
12/9/22 23:59,61522.34996
12/10/22 23:59,61581.50133
12/11/22 23:59,61640.67066
12/12/22 23:59,61699.85821
12/13/22 23:59,61759.0642
12/14/22 23:59,61818.28889
12/15/22 23:59,61877.53251
12/16/22 23:59,61936.7953
12/17/22 23:59,61996.0775
12/18/22 23:59,62055.37936
12/19/22 23:59,62114.70109
12/20/22 23:59,62174.04295
12/21/22 23:59,62233.40516
12/22/22 23:59,62292.78795
12/23/22 23:59,62352.19156
12/24/22 23:59,62411.61622
12/25/22 23:59,62471.06215
12/26/22 23:59,62530.52958
12/27/22 23:59,62590.01874
12/28/22 23:59,62649.52986
12/29/22 23:59,62709.06316
12/30/22 23:59,62768.61886
12/31/22 23:59,62828.1972
1/1/23 23:59,62887.79838
1/2/23 23:59,62947.42263
1/3/23 23:59,63007.07017
1/4/23 23:59,63066.74121
1/5/23 23:59,63126.43599
1/6/23 23:59,63186.1547
1/7/23 23:59,63245.89758
1/8/23 23:59,63305.66483
1/9/23 23:59,63365.45667
1/10/23 23:59,63425.2733
1/11/23 23:59,63485.11495
1/12/23 23:59,63544.98183
1/13/23 23:59,63604.87414
1/14/23 23:59,63664.79209
1/15/23 23:59,63724.7359
1/16/23 23:59,63784.70576
1/17/23 23:59,63844.7019
1/18/23 23:59,63904.7245
1/19/23 23:59,63964.77379
1/20/23 23:59,64024.84996
1/21/23 23:59,64084.95321
1/22/23 23:59,64145.08376
1/23/23 23:59,64205.24179
1/24/23 23:59,64265.42752
1/25/23 23:59,64325.64115
1/26/23 23:59,64385.88286
1/27/23 23:59,64446.15287
1/28/23 23:59,64506.45136
1/29/23 23:59,64566.77855
1/30/23 23:59,64627.13462
1/31/23 23:59,64687.51976
2/1/23 23:59,64747.93418
2/2/23 23:59,64808.37807
2/3/23 23:59,64868.85163
2/4/23 23:59,64929.35504
2/5/23 23:59,64989.8885
2/6/23 23:59,65050.45219
2/7/23 23:59,65111.04632
2/8/23 23:59,65171.67107
2/9/23 23:59,65232.32663
2/10/23 23:59,65293.01319
2/11/23 23:59,65353.73094
2/12/23 23:59,65414.48006
2/13/23 23:59,65475.26075
2/14/23 23:59,65536.07318
2/15/23 23:59,65596.91755
2/16/23 23:59,65657.79404
2/17/23 23:59,65718.70283
2/18/23 23:59,65779.64411
2/19/23 23:59,65840.61806
2/20/23 23:59,65901.62487
2/21/23 23:59,65962.66471
2/22/23 23:59,66023.73777
2/23/23 23:59,66084.84423
2/24/23 23:59,66145.98426
2/25/23 23:59,66207.15806
2/26/23 23:59,66268.36579
2/27/23 23:59,66329.60764
2/28/23 23:59,66390.88379
3/1/23 23:59,66452.1944
3/2/23 23:59,66513.53967
3/3/23 23:59,66574.91976
3/4/23 23:59,66636.33485
3/5/23 23:59,66697.78512
3/6/23 23:59,66759.27074
3/7/23 23:59,66820.79189
3/8/23 23:59,66882.34873
3/9/23 23:59,66943.94145
3/10/23 23:59,67005.57022
3/11/23 23:59,67067.23521
3/12/23 23:59,67128.93659
3/13/23 23:59,67190.67453
3/14/23 23:59,67252.4492
3/15/23 23:59,67314.26078
3/16/23 23:59,67376.10943
3/17/23 23:59,67437.99532
3/18/23 23:59,67499.91863
3/19/23 23:59,67561.87951
3/20/23 23:59,67623.87815
3/21/23 23:59,67685.91471
3/22/23 23:59,67747.98934
3/23/23 23:59,67810.10223
3/24/23 23:59,67872.25354
3/25/23 23:59,67934.44343
3/26/23 23:59,67996.67207
3/27/23 23:59,68058.93963
3/28/23 23:59,68121.24626
3/29/23 23:59,68183.59214
3/30/23 23:59,68245.97743
3/31/23 23:59,68308.40229
4/1/23 23:59,68370.86688
4/2/23 23:59,68433.37137
4/3/23 23:59,68495.91592
4/4/23 23:59,68558.50069
4/5/23 23:59,68621.12585
4/6/23 23:59,68683.79155
4/7/23 23:59,68746.49795
4/8/23 23:59,68809.24522
4/9/23 23:59,68872.03352
4/10/23 23:59,68934.863
4/11/23 23:59,68997.73383
4/12/23 23:59,69060.64616
4/13/23 23:59,69123.60016
4/14/23 23:59,69186.59597
4/15/23 23:59,69249.63377
4/16/23 23:59,69312.7137
4/17/23 23:59,69375.83593
4/18/23 23:59,69439.00061
4/19/23 23:59,69502.2079
4/20/23 23:59,69565.45795
4/21/23 23:59,69628.75093
4/22/23 23:59,69692.08698
4/23/23 23:59,69755.46626
4/24/23 23:59,69818.88893
4/25/23 23:59,69882.35514
4/26/23 23:59,69945.86505
4/27/23 23:59,70009.41881
4/28/23 23:59,70073.01657
4/29/23 23:59,70136.65849
4/30/23 23:59,70200.34472
5/1/23 23:59,70264.07542
5/2/23 23:59,70327.85073
5/3/23 23:59,70391.67082
5/4/23 23:59,70455.53582
5/5/23 23:59,70519.4459
5/6/23 23:59,70583.4012
5/7/23 23:59,70647.40188
5/8/23 23:59,70711.44809
5/9/23 23:59,70775.53997
5/10/23 23:59,70839.67768
5/11/23 23:59,70903.86138
5/12/23 23:59,70968.0912
5/13/23 23:59,71032.3673
5/14/23 23:59,71096.68983
5/15/23 23:59,71161.05894
5/16/23 23:59,71225.47477
5/17/23 23:59,71289.93748
5/18/23 23:59,71354.44721
5/19/23 23:59,71419.00412
5/20/23 23:59,71483.60834
5/21/23 23:59,71548.26003
5/22/23 23:59,71612.95934
5/23/23 23:59,71677.70641
5/24/23 23:59,71742.50139
5/25/23 23:59,71807.34443
5/26/23 23:59,71872.23568
5/27/23 23:59,71937.17527
5/28/23 23:59,72002.16336
5/29/23 23:59,72067.20009
5/30/23 23:59,72132.28561
5/31/23 23:59,72197.42006
6/1/23 23:59,72262.60359
6/2/23 23:59,72327.83635
6/3/23 23:59,72393.11848
6/4/23 23:59,72458.45012
6/5/23 23:59,72523.83142
6/6/23 23:59,72589.26252
6/7/23 23:59,72654.74357
6/8/23 23:59,72720.27471
6/9/23 23:59,72785.85609
6/10/23 23:59,72851.48784
6/11/23 23:59,72917.17012
6/12/23 23:59,72982.90307
6/13/23 23:59,73048.68682
6/14/23 23:59,73114.52152
6/15/23 23:59,73180.40732
6/16/23 23:59,73246.34436
6/17/23 23:59,73312.33277
6/18/23 23:59,73378.37271
6/19/23 23:59,73444.46431
6/20/23 23:59,73510.60771
6/21/23 23:59,73576.80307
6/22/23 23:59,73643.05051
6/23/23 23:59,73709.35018
6/24/23 23:59,73775.70222
6/25/23 23:59,73842.10678
