Date,Hi.80
6/24/22 23:59,0.730402415
6/25/22 23:59,0.732613428
6/26/22 23:59,0.734827909
6/27/22 23:59,0.737045893
6/28/22 23:59,0.73926742
6/29/22 23:59,0.741492525
6/30/22 23:59,0.743721247
7/1/22 23:59,0.745953621
7/2/22 23:59,0.748189684
7/3/22 23:59,0.750429473
7/4/22 23:59,0.752673024
7/5/22 23:59,0.754920372
7/6/22 23:59,0.757171553
7/7/22 23:59,0.759426602
7/8/22 23:59,0.761685556
7/9/22 23:59,0.763948449
7/10/22 23:59,0.766215317
7/11/22 23:59,0.768486193
7/12/22 23:59,0.770761113
7/13/22 23:59,0.773040111
7/14/22 23:59,0.775323221
7/15/22 23:59,0.777610478
7/16/22 23:59,0.779901916
7/17/22 23:59,0.782197569
7/18/22 23:59,0.78449747
7/19/22 23:59,0.786801653
7/20/22 23:59,0.789110151
7/21/22 23:59,0.791422998
7/22/22 23:59,0.793740228
7/23/22 23:59,0.796061872
7/24/22 23:59,0.798387965
7/25/22 23:59,0.800718539
7/26/22 23:59,0.803053626
7/27/22 23:59,0.805393261
7/28/22 23:59,0.807737474
7/29/22 23:59,0.810086299
7/30/22 23:59,0.812439767
7/31/22 23:59,0.814797912
8/1/22 23:59,0.817160765
8/2/22 23:59,0.819528359
8/3/22 23:59,0.821900725
8/4/22 23:59,0.824277895
8/5/22 23:59,0.826659902
8/6/22 23:59,0.829046776
8/7/22 23:59,0.83143855
8/8/22 23:59,0.833835255
8/9/22 23:59,0.836236922
8/10/22 23:59,0.838643584
8/11/22 23:59,0.841055271
8/12/22 23:59,0.843472015
8/13/22 23:59,0.845893847
8/14/22 23:59,0.848320798
8/15/22 23:59,0.8507529
8/16/22 23:59,0.853190183
8/17/22 23:59,0.855632679
8/18/22 23:59,0.858080418
8/19/22 23:59,0.860533432
8/20/22 23:59,0.862991751
8/21/22 23:59,0.865455406
8/22/22 23:59,0.867924428
8/23/22 23:59,0.870398848
8/24/22 23:59,0.872878696
8/25/22 23:59,0.875364003
8/26/22 23:59,0.8778548
8/27/22 23:59,0.880351117
8/28/22 23:59,0.882852985
8/29/22 23:59,0.885360435
8/30/22 23:59,0.887873496
8/31/22 23:59,0.8903922
9/1/22 23:59,0.892916577
9/2/22 23:59,0.895446656
9/3/22 23:59,0.89798247
9/4/22 23:59,0.900524048
9/5/22 23:59,0.90307142
9/6/22 23:59,0.905624617
9/7/22 23:59,0.908183669
9/8/22 23:59,0.910748606
9/9/22 23:59,0.91331946
9/10/22 23:59,0.915896259
9/11/22 23:59,0.918479034
9/12/22 23:59,0.921067816
9/13/22 23:59,0.923662635
9/14/22 23:59,0.926263521
9/15/22 23:59,0.928870505
9/16/22 23:59,0.931483615
9/17/22 23:59,0.934102884
9/18/22 23:59,0.936728341
9/19/22 23:59,0.939360016
9/20/22 23:59,0.94199794
9/21/22 23:59,0.944642142
9/22/22 23:59,0.947292653
9/23/22 23:59,0.949949504
9/24/22 23:59,0.952612724
9/25/22 23:59,0.955282344
9/26/22 23:59,0.957958394
9/27/22 23:59,0.960640904
9/28/22 23:59,0.963329905
9/29/22 23:59,0.966025427
9/30/22 23:59,0.9687275
10/1/22 23:59,0.971436154
10/2/22 23:59,0.974151421
10/3/22 23:59,0.976873329
10/4/22 23:59,0.979601911
10/5/22 23:59,0.982337195
10/6/22 23:59,0.985079212
10/7/22 23:59,0.987827994
10/8/22 23:59,0.990583569
10/9/22 23:59,0.99334597
10/10/22 23:59,0.996115225
10/11/22 23:59,0.998891367
10/12/22 23:59,1.001674424
10/13/22 23:59,1.004464429
10/14/22 23:59,1.00726141
10/15/22 23:59,1.0100654
10/16/22 23:59,1.012876429
10/17/22 23:59,1.015694526
10/18/22 23:59,1.018519724
10/19/22 23:59,1.021352053
10/20/22 23:59,1.024191543
10/21/22 23:59,1.027038225
10/22/22 23:59,1.029892131
10/23/22 23:59,1.03275329
10/24/22 23:59,1.035621734
10/25/22 23:59,1.038497494
10/26/22 23:59,1.041380601
10/27/22 23:59,1.044271086
10/28/22 23:59,1.047168979
10/29/22 23:59,1.050074313
10/30/22 23:59,1.052987117
10/31/22 23:59,1.055907424
11/1/22 23:59,1.058835263
11/2/22 23:59,1.061770668
11/3/22 23:59,1.064713668
11/4/22 23:59,1.067664296
11/5/22 23:59,1.070622582
11/6/22 23:59,1.073588558
11/7/22 23:59,1.076562255
11/8/22 23:59,1.079543706
11/9/22 23:59,1.08253294
11/10/22 23:59,1.085529991
11/11/22 23:59,1.08853489
11/12/22 23:59,1.091547668
11/13/22 23:59,1.094568357
11/14/22 23:59,1.09759699
11/15/22 23:59,1.100633597
11/16/22 23:59,1.10367821
11/17/22 23:59,1.106730863
11/18/22 23:59,1.109791586
11/19/22 23:59,1.112860411
11/20/22 23:59,1.115937372
11/21/22 23:59,1.119022499
11/22/22 23:59,1.122115826
11/23/22 23:59,1.125217384
11/24/22 23:59,1.128327205
11/25/22 23:59,1.131445323
11/26/22 23:59,1.13457177
11/27/22 23:59,1.137706578
11/28/22 23:59,1.140849779
11/29/22 23:59,1.144001407
11/30/22 23:59,1.147161493
12/1/22 23:59,1.150330072
12/2/22 23:59,1.153507175
